CRN_final,cohort,grant_date_real,grant_year,Award Offered (£),Sector,Enterprise Size,enterprise_size_clean,Is Lead Participant,Innovate UK Product Type,prior_iuk_grant_received,total_iuk_grants,grant_rank,Address Region,is_crf,prior_source_grant,inc_date,company_age_at_grant,R/O Postal region,Legal form,SME indicator,Number of current directors,no_financial_data,pregrant_year,pregrant_current_assets,pregrant_current_liabilities,pregrant_total_assets,pregrant_long_term_liabilities,pregrant_net_tangible_assets,pregrant_fixed_assets,pregrant_turnover,pregrant_profit_loss,pregrant_creditors,pregrant_total_liabilities,pregrant_net_assets,pregrant_current_ratio,pregrant_leverage_ratio,pregrant_working_capital,pregrant_profit_margin,pregrant_roa,corporate_psc_flag,sic_code_dg,accounts_overdue,last_accounts_date,n_grant_rows,total_award_allgrants,first_grant_year,last_grant_year,prior_iuk_grant_received_ever,survival_36m_final,follow_on_equity_3yr,further_grant_bh
08812630,Cohort B,2016-05-01,2016,41520.0,AI & Data Economy,Micro,Micro,Yes,Procurement,0.0,1.0,1.0,London,False,,2013-12-12,2.4,West Midlands,Private Limited,1.0,0,0,2015,125031,-81573.0,310249,-76219.0,44676,185218.0,,,,-157792.0,152457.0,1.533,0.5085979326283082,43458.0,,,0,63120.0,1,2021-09-30,1,41520.0,2016,2016,0.0,1,0.0,0.0
09258434,Cohort C,2016-05-01,2016,21653.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Feasibility Studies,0.0,1.0,1.0,North East,False,,2014-10-10,1.6,Yorks & Humberside,Private Limited,1.0,0,0,2015,18822,-4442.0,19530,-31077.0,15088,708.0,,,,-35519.0,-15989.0,4.237,1.818689196108551,14380.0,,,0,62012.0,1,2021-06-07,1,21653.0,2016,2016,0.0,1,,
08802680,Cohort C,2016-05-01,2016,20723.0,Clean Growth & Infrastructure,Small,Small,No,Feasibility Studies,0.0,1.0,1.0,North East,False,,2013-04-12,3.1,Northern,Guarantee,1.0,18,0,2015,84760,-31918.0,85660,,53742,900.0,678958.0,53742.0,,-31918.0,53742.0,2.656,0.3726126546812982,52842.0,0.079,0.627,0,94990.0,0,2025-12-05,1,20723.0,2016,2016,0.0,1,,
04479217,Cohort C,2016-05-01,2016,374841.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,1.0,4.0,1.0,West Midlands,False,,2002-05-07,14.0,North West,Private Limited,1.0,0,0,2015,717031,-9905273.0,1436709,-466740.0,-8468564,719678.0,128243.0,-3285218.0,-211330.0,-10372013.0,-8935304.0,0.072,7.219285881831325,-9188242.0,-25.617,-2.287,0,32990.0,1,2023-10-06,1,374841.0,2016,2016,1.0,1,,
06414686,Cohort C,2016-05-01,2016,230848.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Feasibility Studies,1.0,6.0,1.0,North East,False,,2007-10-31,8.5,Yorks & Humberside,Private Limited,1.0,0,0,2015,26151,-120021.0,85361,,-90262,59210.0,,,,-120021.0,-34660.0,0.218,1.406040229144457,-93870.0,,,0,72190.0,1,2022-12-07,1,230848.0,2016,2016,1.0,1,,
03900983,Cohort C,2016-05-01,2016,745550.0,Clean Growth & Infrastructure,Small,Small,Yes,Collaborative R&D,1.0,6.0,1.0,London,False,,1999-12-30,16.3,North West,Private Limited,1.0,0,0,2015,317080,-32930.0,317080,,284150,,,,,-32930.0,284150.0,9.629,0.1038539169925571,284150.0,,,0,43220.0,0,2025-09-30,1,745550.0,2016,2016,1.0,1,,
09137387,Cohort C,2016-05-01,2016,148062.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,1.0,3.0,1.0,South East,False,,2014-07-18,1.8,Southern,Private Limited,1.0,8,0,2015,32672,-10253.0,33455,,23202,783.0,,,,-10253.0,23202.0,3.187,0.3064713794649529,22419.0,,,0,71129.0,0,2025-11-19,1,148062.0,2016,2016,1.0,1,,
04872078,Cohort C,2016-05-01,2016,341844.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,0.0,1.0,1.0,East of England,False,,2003-08-20,12.7,Southern,Private Limited,1.0,2,0,2015,328835,-405900.0,655676,-94966.0,249776,326841.0,,,,-500866.0,154810.0,0.81,0.7638925322872883,-77065.0,,,0,43130.0,0,2025-11-25,1,341844.0,2016,2016,0.0,1,,
08329445,Cohort B,2016-06-01,2016,96004.0,AI & Data Economy,Micro,Micro,No,Collaborative R&D,0.0,1.0,1.0,London,False,,2012-12-13,3.5,South Eastern,Private Limited,1.0,0,0,2015,1096,-399.0,9646,,9247,8550.0,,,,-399.0,9247.0,2.747,0.04136429608127722,697.0,,,0,58290.0,1,2019-01-24,1,96004.0,2016,2016,0.0,1,,
02072488,Cohort C,2016-06-01,2016,95837.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,0.0,1.0,1.0,South East,False,,1986-10-11,29.6,Southern,Private Limited,1.0,2,0,2015,511303,-185781.0,672464,-216887.0,486683,161161.0,,,,-402668.0,269796.0,2.752,0.5987948797259035,325522.0,,,0,27900.0,0,2025-09-30,1,95837.0,2016,2016,0.0,1,,
06780480,Cohort C,2016-06-01,2016,21522.0,Clean Growth & Infrastructure,Micro,Micro,No,Feasibility Studies,0.0,1.0,1.0,South East,False,,2008-12-29,7.4,Southern,Private Limited,1.0,2,0,2015,78609,-75244.0,81601,,6357,2992.0,,,,-75244.0,6357.0,1.045,0.9220965429345228,3365.0,,,0,70229.0,0,2025-06-10,1,21522.0,2016,2016,0.0,1,,
08098915,Cohort C,2016-06-01,2016,24296.0,Clean Growth & Infrastructure,Micro,Micro,No,Feasibility Studies,1.0,4.0,1.0,South East,False,,2012-08-06,3.8,South Eastern,Private Limited,1.0,8,0,2015,28759,-121533.0,28759,,-92774,,,,,-121533.0,-92774.0,0.237,4.225911888452311,-92774.0,,,0,71200.0,0,2026-03-09,1,24296.0,2016,2016,1.0,1,,
04193270,Cohort C,2016-06-01,2016,24181.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Feasibility Studies,0.0,1.0,1.0,East of England,False,,2001-03-04,15.2,Eastern,Private Limited,1.0,1,0,2015,4994,-10425.0,11612,-1046.0,1187,6618.0,,,,-11471.0,141.0,0.479,0.9878573889080262,-5431.0,,,0,82990.0,0,2025-11-13,1,24181.0,2016,2016,0.0,1,,
08353379,Cohort C,2016-06-01,2016,271000.0,Clean Growth & Infrastructure,Small,Small,Yes,Collaborative R&D,0.0,1.0,1.0,South West,False,,2013-09-01,2.7,Southern,Private Limited,1.0,0,0,2015,3235033,-4182783.0,3248188,-14267218.0,-939143,13155.0,,,,-18450001.0,-15201813.0,0.773,5.680090253396663,-947750.0,,,0,64209.0,1,2019-11-12,1,271000.0,2016,2016,0.0,1,,
06031724,Cohort C,2016-06-01,2016,52109.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,1.0,2.0,1.0,London,False,,2006-12-18,9.5,South Western,Private Limited,1.0,2,0,2015,638883,-169470.0,661682,,492212,22799.0,,,,-169470.0,492212.0,3.77,0.2561200093096079,469413.0,,,0,71129.0,0,2025-12-23,1,52109.0,2016,2016,1.0,1,,
06758978,Cohort C,2016-06-01,2016,42546.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,0.0,1.0,1.0,South West,False,,2008-11-26,7.5,South Western,Private Limited,1.0,2,0,2015,1168160,-1004533.0,2366715,-476794.0,1362182,1198555.0,,,,-1481327.0,885388.0,1.163,0.6259000344359165,163627.0,,,0,82990.0,0,2026-04-17,1,42546.0,2016,2016,0.0,1,,
05416158,Cohort C,2016-06-01,2016,119937.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,0.0,1.0,1.0,East Midlands,False,,2005-06-04,11.0,Southern,Private Limited,1.0,2,0,2015,28210,-27522.0,28436,,914,226.0,,,,-27522.0,914.0,1.025,0.9678576452384302,688.0,,,0,62012.0,0,2026-03-03,1,119937.0,2016,2016,0.0,1,,
09062093,Cohort C,2016-06-01,2016,188558.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,1.0,3.0,1.0,South East,False,,2014-05-29,2.0,South Western,Private Limited,1.0,2,0,2015,1,,1,,1,,,,,,,,,,,,0,63990.0,0,2026-02-27,1,188558.0,2016,2016,1.0,1,,
07585408,Cohort C,2016-06-01,2016,303342.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,1.0,4.0,1.0,South East,False,,2011-03-31,5.2,Southern,Private Limited,1.0,2,0,2015,182319,-422406.0,184876,,-237530,2557.0,,,,-422406.0,-237530.0,0.432,2.284807113957463,-240087.0,,,0,62090.0,0,2025-12-04,1,303342.0,2016,2016,1.0,1,,
05741006,Cohort C,2016-06-01,2016,4895.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,0.0,1.0,1.0,North West,False,,2006-03-13,10.2,North West,Guarantee,1.0,0,0,2015,171977,-62888.0,180076,-12540.0,117188,8099.0,,,,-75428.0,104648.0,2.735,0.4188675892400986,109089.0,,,0,71112.0,1,2022-11-23,1,4895.0,2016,2016,0.0,1,,
08158942,Cohort C,2016-06-01,2016,8670.0,Clean Growth & Infrastructure,Medium,Medium,No,Collaborative R&D,0.0,1.0,1.0,London,False,,2012-07-27,3.8,London Inner,Private Limited,1.0,0,0,2015,3897000,-2279000.0,4143000,,1864000,246000.0,13002000.0,1032000.0,104000.0,-2279000.0,1864000.0,1.71,0.5500844798455226,1618000.0,0.079,0.249,0,74909.0,1,2019-09-27,1,8670.0,2016,2016,0.0,1,,
06759291,Cohort C,2016-06-01,2016,18663.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,0.0,1.0,1.0,Yorkshire and The Humber,False,,2008-11-26,7.5,Yorks & Humberside,Private Limited,1.0,0,0,2015,23508,-14907.0,23598,,8691,90.0,,,,-14907.0,8691.0,1.577,0.6317060767861683,8601.0,,,0,59113.0,1,2018-08-30,1,18663.0,2016,2016,0.0,1,,
